Imagem,Descrição,Probabilidade
ADE_val_00001151.jpg,Medicinal/ Phenolic Primary odor,0.0237
ADE_val_00001151.jpg,Vegetation Primary odor,0.0192
ADE_val_00001159.jpg,Building materials & construction Primary odor,0.1482
ADE_val_00001159.jpg,Cleaning materials Primary odor,0.1190
ADE_val_00001159.jpg,Aromatic Primary odor,0.0552
ADE_val_00001159.jpg,Ylang Primary odor,0.0324
ADE_val_00001159.jpg,Cloth Primary odor,0.0235
ADE_val_00001159.jpg,Characteristic Primary odor,0.0224
ADE_val_00001159.jpg,Alliaceous Primary odor,0.0220
ADE_val_00001159.jpg,Human Perception Primary odor,0.0220
ADE_val_00001159.jpg,Industrial odours Primary odor,0.0217
ADE_val_00001159.jpg,Microbiological Primary odor,0.0213
ADE_val_00001161.jpg,Building materials & construction Primary odor,0.0993
ADE_val_00001161.jpg,Cleaning materials Primary odor,0.0880
ADE_val_00001161.jpg,Aromatic Primary odor,0.0809
ADE_val_00001161.jpg,Restaurant Primary odor,0.0586
ADE_val_00001161.jpg,Characteristic Primary odor,0.0558
ADE_val_00001161.jpg,Industrial odours Primary odor,0.0338
ADE_val_00001161.jpg,Human Perception Primary odor,0.0336
ADE_val_00001161.jpg,Medicinal/ Phenolic Primary odor,0.0274
ADE_val_00001161.jpg,Microbiological Primary odor,0.0241
ADE_val_00001161.jpg,Hircine Primary odor,0.0227
ADE_val_00001211.jpg,Waste Water Primary odor,0.2190
ADE_val_00001211.jpg,Citrus Primary odor,0.0755
ADE_val_00001211.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0755
ADE_val_00001211.jpg,Fecal/ Sewery Primary odor,0.0586
ADE_val_00001211.jpg,Waxy Primary odor,0.0368
ADE_val_00001211.jpg,Water Primary odor,0.0282
ADE_val_00001211.jpg,Synthetic Primary odor,0.0268
ADE_val_00001211.jpg,Oriental Primary odor,0.0257
ADE_val_00001211.jpg,Bitter Primary odor,0.0252
ADE_val_00001211.jpg,Waste Primary odor,0.0204
ADE_val_00001229.jpg,Perfumes Primary odor,0.1063
ADE_val_00001229.jpg,Fragrance Primary odor,0.0591
ADE_val_00001229.jpg,Cleaning materials Primary odor,0.0529
ADE_val_00001229.jpg,Tobacco smoke Primary odor,0.0480
ADE_val_00001229.jpg,Restaurant Primary odor,0.0369
ADE_val_00001229.jpg,Chocolate Primary odor,0.0343
ADE_val_00001229.jpg,Medicinal/ Alcohol Primary odor,0.0319
ADE_val_00001229.jpg,Human Perception Primary odor,0.0283
ADE_val_00001229.jpg,Aromatic Primary odor,0.0273
ADE_val_00001229.jpg,Foul Primary odor,0.0223
ADE_val_00001238.jpg,Grassy/ Woody Primary odor,0.0927
ADE_val_00001238.jpg,Fecal/ Sewery Primary odor,0.0747
ADE_val_00001238.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.0630
ADE_val_00001238.jpg,Dairy Primary odor,0.0353
ADE_val_00001238.jpg,Medicinal/ Phenolic Primary odor,0.0339
ADE_val_00001238.jpg,Medicinal/ Alcohol Primary odor,0.0313
ADE_val_00001238.jpg,People & animals Primary odor,0.0304
ADE_val_00001238.jpg,Microbiological Primary odor,0.0283
ADE_val_00001238.jpg,Vegetation Primary odor,0.0278
ADE_val_00001238.jpg,Drinking Water Primary odor,0.0257
ADE_val_00001248.jpg,City Smell Primary odor,0.2414
ADE_val_00001248.jpg,Microbiological Primary odor,0.1693
ADE_val_00001248.jpg,Hircine Primary odor,0.0336
ADE_val_00001248.jpg,Waste Water Primary odor,0.0279
ADE_val_00001248.jpg,Ambrosial Primary odor,0.0267
ADE_val_00001248.jpg,Perfumes Primary odor,0.0224
ADE_val_00001248.jpg,Fecal/ Sewery Primary odor,0.0212
ADE_val_00001248.jpg,Citrus Primary odor,0.0207
ADE_val_00001248.jpg,Non-vegetarian Primary odor,0.0207
ADE_val_00001248.jpg,Grains Primary odor,0.0185
ADE_val_00001258.jpg,Cleaning materials Primary odor,0.2594
ADE_val_00001258.jpg,Non-food items Primary odor,0.1476
ADE_val_00001258.jpg,Building materials & construction Primary odor,0.1256
ADE_val_00001258.jpg,People & animals Primary odor,0.0674
ADE_val_00001258.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0585
ADE_val_00001258.jpg,Industrial odours Primary odor,0.0238
ADE_val_00001258.jpg,Human Perception Primary odor,0.0178
ADE_val_00001258.jpg,Microbiological Primary odor,0.0172
ADE_val_00001258.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.0127
ADE_val_00001258.jpg,Synthetic Primary odor,0.0126
ADE_val_00001264.jpg,City Smell Primary odor,0.0971
ADE_val_00001264.jpg,Human Perception Primary odor,0.0773
ADE_val_00001264.jpg,Industrial odours Primary odor,0.0622
ADE_val_00001264.jpg,Traffic emissions Primary odor,0.0559
ADE_val_00001264.jpg,Chemical/ Hydrocarbon Primary odor,0.0544
ADE_val_00001264.jpg,Synthetic Primary odor,0.0445
ADE_val_00001264.jpg,Nose Feel Primary odor,0.0402
ADE_val_00001264.jpg,Characteristic Primary odor,0.0368
ADE_val_00001264.jpg,Perfumes Primary odor,0.0366
ADE_val_00001264.jpg,Aromatic Primary odor,0.0332
ADE_val_00001268.jpg,Microbiological Primary odor,0.0766
ADE_val_00001268.jpg,Fecal/ Sewery Primary odor,0.0646
ADE_val_00001268.jpg,Restaurant Primary odor,0.0371
ADE_val_00001268.jpg,Industrial odours Primary odor,0.0318
ADE_val_00001268.jpg,Cleaning materials Primary odor,0.0318
ADE_val_00001268.jpg,Human Perception Primary odor,0.0257
ADE_val_00001268.jpg,City Smell Primary odor,0.0239
ADE_val_00001268.jpg,Brown Primary odor,0.0237
ADE_val_00001268.jpg,Foul Primary odor,0.0227
ADE_val_00001268.jpg,Citrus Primary odor,0.0218
ADE_val_00001287.jpg,Coal tar Primary odor,0.0691
ADE_val_00001287.jpg,Grassy/ Woody Primary odor,0.0467
ADE_val_00001287.jpg,Woody Primary odor,0.0458
ADE_val_00001287.jpg,Earthy/ Musty/ Moldy Primary odor,0.0320
ADE_val_00001287.jpg,Characteristic Primary odor,0.0302
ADE_val_00001287.jpg,Brown Primary odor,0.0298
ADE_val_00001287.jpg,Waste Water Primary odor,0.0265
ADE_val_00001287.jpg,Nature Primary odor,0.0253
ADE_val_00001287.jpg,Dry woods Primary odor,0.0191
ADE_val_00001287.jpg,Other Primary odor,0.0182
ADE_val_00001306.jpg,Restaurant Primary odor,0.4412
ADE_val_00001306.jpg,Cleaning materials Primary odor,0.0349
ADE_val_00001306.jpg,Non-food items Primary odor,0.0326
ADE_val_00001306.jpg,Microbiological Primary odor,0.0241
ADE_val_00001306.jpg,Grains Primary odor,0.0240
ADE_val_00001306.jpg,Wine Primary odor,0.0215
ADE_val_00001306.jpg,Food Primary odor,0.0202
ADE_val_00001306.jpg,Building materials & construction Primary odor,0.0184
ADE_val_00001306.jpg,Perfumes Primary odor,0.0174
ADE_val_00001306.jpg,Foul Primary odor,0.0173
ADE_val_00001316.jpg,Restaurant Primary odor,0.6028
ADE_val_00001316.jpg,Non-food items Primary odor,0.0419
ADE_val_00001316.jpg,Cleaning materials Primary odor,0.0381
ADE_val_00001316.jpg,Building materials & construction Primary odor,0.0355
ADE_val_00001316.jpg,Balsamic Primary odor,0.0102
ADE_val_00001316.jpg,Fecal/ Sewery Primary odor,0.0098
ADE_val_00001316.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.0098
ADE_val_00001316.jpg,Wine Primary odor,0.0091
ADE_val_00001316.jpg,Spices Primary odor,0.0086
ADE_val_00001316.jpg,Aromatic Primary odor,0.0067
ADE_val_00001369.jpg,Waste Water Primary odor,0.4446
ADE_val_00001369.jpg,Drinking Water Primary odor,0.1604
ADE_val_00001369.jpg,Water Primary odor,0.1263
ADE_val_00001369.jpg,City Smell Primary odor,0.0274
ADE_val_00001369.jpg,Microbiological Primary odor,0.0174
ADE_val_00001369.jpg,Synthetic Primary odor,0.0168
ADE_val_00001369.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.0137
ADE_val_00001369.jpg,Industrial odours Primary odor,0.0125
ADE_val_00001369.jpg,Cleaning materials Primary odor,0.0107
ADE_val_00001369.jpg,Fecal/ Sewery Primary odor,0.0096
ADE_val_00001404.jpg,Traffic emissions Primary odor,0.5727
ADE_val_00001404.jpg,Microbiological Primary odor,0.0482
ADE_val_00001404.jpg,Industrial odours Primary odor,0.0317
ADE_val_00001404.jpg,Aromatic Primary odor,0.0315
ADE_val_00001404.jpg,City Smell Primary odor,0.0304
ADE_val_00001404.jpg,Coal tar Primary odor,0.0304
ADE_val_00001404.jpg,Characteristic Primary odor,0.0281
ADE_val_00001404.jpg,Synthetic Primary odor,0.0129
ADE_val_00001404.jpg,Medicinal/ Phenolic Primary odor,0.0114
ADE_val_00001404.jpg,Vegetation Primary odor,0.0113
ADE_val_00001422.jpg,Restaurant Primary odor,0.0652
ADE_val_00001422.jpg,Synthetic Primary odor,0.0554
ADE_val_00001422.jpg,Fecal/ Sewery Primary odor,0.0482
ADE_val_00001422.jpg,Characteristic Primary odor,0.0384
ADE_val_00001422.jpg,Other Primary odor,0.0332
ADE_val_00001422.jpg,Other Primary odor,0.0332
ADE_val_00001422.jpg,Cleaning materials Primary odor,0.0267
ADE_val_00001422.jpg,Microbiological Primary odor,0.0246
ADE_val_00001422.jpg,Microbial Primary odor,0.0245
ADE_val_00001422.jpg,Aromatic Primary odor,0.0243
ADE_val_00001433.jpg,City Smell Primary odor,0.1939
ADE_val_00001433.jpg,Restaurant Primary odor,0.0892
ADE_val_00001433.jpg,Cleaning materials Primary odor,0.0595
ADE_val_00001433.jpg,Fragrance Primary odor,0.0363
ADE_val_00001433.jpg,Human Perception Primary odor,0.0295
ADE_val_00001433.jpg,Foul Primary odor,0.0225
ADE_val_00001433.jpg,Sharp/ Pungent Primary odor,0.0203
ADE_val_00001433.jpg,Medicinal/ Alcohol Primary odor,0.0184
ADE_val_00001433.jpg,Characteristic Primary odor,0.0178
ADE_val_00001433.jpg,Microbiological Primary odor,0.0178
ADE_val_00001462.jpg,Cleaning materials Primary odor,0.4228
ADE_val_00001462.jpg,Non-food items Primary odor,0.0829
ADE_val_00001462.jpg,Building materials & construction Primary odor,0.0508
ADE_val_00001462.jpg,Ripe/ Unripe Primary odor,0.0280
ADE_val_00001462.jpg,Restaurant Primary odor,0.0223
ADE_val_00001462.jpg,Fecal/ Sewery Primary odor,0.0178
ADE_val_00001462.jpg,Microbiological Primary odor,0.0132
ADE_val_00001462.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0117
ADE_val_00001462.jpg,Plants Primary odor,0.0111
ADE_val_00001462.jpg,Medicinal/ Phenolic Primary odor,0.0098
ADE_val_00001472.jpg,Cleaning materials Primary odor,0.3481
ADE_val_00001472.jpg,Non-food items Primary odor,0.1948
ADE_val_00001472.jpg,Building materials & construction Primary odor,0.0307
ADE_val_00001472.jpg,City Smell Primary odor,0.0219
ADE_val_00001472.jpg,Restaurant Primary odor,0.0164
ADE_val_00001472.jpg,Industrial odours Primary odor,0.0156
ADE_val_00001472.jpg,Vegetation Primary odor,0.0146
ADE_val_00001472.jpg,Sharp/ Pungent Primary odor,0.0133
ADE_val_00001472.jpg,Spices Primary odor,0.0133
ADE_val_00001472.jpg,Food Primary odor,0.0125
ADE_val_00001474.jpg,Cleaning materials Primary odor,0.3736
ADE_val_00001474.jpg,Non-food items Primary odor,0.2184
ADE_val_00001474.jpg,Food Primary odor,0.0411
ADE_val_00001474.jpg,Balsamic Primary odor,0.0302
ADE_val_00001474.jpg,Plants Primary odor,0.0199
ADE_val_00001474.jpg,Spices Primary odor,0.0198
ADE_val_00001474.jpg,Dry fruit Primary odor,0.0187
ADE_val_00001474.jpg,Building materials & construction Primary odor,0.0159
ADE_val_00001474.jpg,Wine Primary odor,0.0157
ADE_val_00001474.jpg,Restaurant Primary odor,0.0146
ADE_val_00001491.jpg,Drinking Water Primary odor,0.2973
ADE_val_00001491.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.1085
ADE_val_00001491.jpg,People & animals Primary odor,0.0987
ADE_val_00001491.jpg,Water Primary odor,0.0509
ADE_val_00001491.jpg,Waste Water Primary odor,0.0410
ADE_val_00001491.jpg,Human Perception Primary odor,0.0391
ADE_val_00001491.jpg,Alliaceous Primary odor,0.0327
ADE_val_00001491.jpg,Aromatic Primary odor,0.0199
ADE_val_00001491.jpg,Nature Primary odor,0.0186
ADE_val_00001491.jpg,City Smell Primary odor,0.0141
ADE_val_00001511.jpg,Cleaning materials Primary odor,0.4114
ADE_val_00001511.jpg,Non-food items Primary odor,0.0442
ADE_val_00001511.jpg,Ylang Primary odor,0.0329
ADE_val_00001511.jpg,Plants Primary odor,0.0223
ADE_val_00001511.jpg,Woody/ Resinous Primary odor,0.0198
ADE_val_00001511.jpg,Characteristic Primary odor,0.0194
ADE_val_00001511.jpg,Wine Primary odor,0.0187
ADE_val_00001511.jpg,Aromatic Primary odor,0.0148
ADE_val_00001511.jpg,Vegetation Primary odor,0.0140
ADE_val_00001511.jpg,Fecal/ Sewery Primary odor,0.0138
ADE_val_00001520.jpg,Cleaning materials Primary odor,0.1592
ADE_val_00001520.jpg,Fragrance Primary odor,0.0486
ADE_val_00001520.jpg,Characteristic Primary odor,0.0435
ADE_val_00001520.jpg,Ambrosial Primary odor,0.0394
ADE_val_00001520.jpg,Perfumes Primary odor,0.0377
ADE_val_00001520.jpg,Microbiological Primary odor,0.0299
ADE_val_00001520.jpg,Balsamic Primary odor,0.0234
ADE_val_00001520.jpg,Hircine Primary odor,0.0215
ADE_val_00001520.jpg,Cloth Primary odor,0.0214
ADE_val_00001520.jpg,Aromatic Primary odor,0.0186
ADE_val_00001527.jpg,Cleaning materials Primary odor,0.0947
ADE_val_00001527.jpg,Aromatic Primary odor,0.0579
ADE_val_00001527.jpg,Ylang Primary odor,0.0555
ADE_val_00001527.jpg,Characteristic Primary odor,0.0489
ADE_val_00001527.jpg,Coal tar Primary odor,0.0253
ADE_val_00001527.jpg,Ripe/ Unripe Primary odor,0.0226
ADE_val_00001527.jpg,Medicinal/ Alcohol Primary odor,0.0217
ADE_val_00001527.jpg,Microbiological Primary odor,0.0207
ADE_val_00001527.jpg,Chlorinous Primary odor,0.0205
ADE_val_00001527.jpg,Medicinal/ Phenolic Primary odor,0.0196
ADE_val_00001569.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.1729
ADE_val_00001569.jpg,Traffic emissions Primary odor,0.1496
ADE_val_00001569.jpg,Fecal/ Sewery Primary odor,0.0459
ADE_val_00001569.jpg,Coal tar Primary odor,0.0444
ADE_val_00001569.jpg,Chemical/ Hydrocarbon Primary odor,0.0321
ADE_val_00001569.jpg,Characteristic Primary odor,0.0281
ADE_val_00001569.jpg,Non-food items Primary odor,0.0272
ADE_val_00001569.jpg,Human Perception Primary odor,0.0205
ADE_val_00001569.jpg,City Smell Primary odor,0.0180
ADE_val_00001569.jpg,Synthetic Primary odor,0.0155
ADE_val_00001579.jpg,Hircine Primary odor,0.0631
ADE_val_00001579.jpg,Characteristic Primary odor,0.0514
ADE_val_00001579.jpg,Human Perception Primary odor,0.0467
ADE_val_00001579.jpg,Ammonia Primary odor,0.0457
ADE_val_00001579.jpg,Alliaceous Primary odor,0.0433
ADE_val_00001579.jpg,Microbiological Primary odor,0.0391
ADE_val_00001579.jpg,Non-vegetarian Primary odor,0.0363
ADE_val_00001579.jpg,Ambrosial Primary odor,0.0360
ADE_val_00001579.jpg,Waste Water Primary odor,0.0325
ADE_val_00001579.jpg,Fishy/ Ammonia Primary odor,0.0275
ADE_val_00001589.jpg,Waste Water Primary odor,0.0762
ADE_val_00001589.jpg,Coal tar Primary odor,0.0743
ADE_val_00001589.jpg,Hircine Primary odor,0.0695
ADE_val_00001589.jpg,Microbiological Primary odor,0.0559
ADE_val_00001589.jpg,Ammonia Primary odor,0.0535
ADE_val_00001589.jpg,Building materials & construction Primary odor,0.0495
ADE_val_00001589.jpg,Industrial odours Primary odor,0.0388
ADE_val_00001589.jpg,Chemical/ Hydrocarbon Primary odor,0.0345
ADE_val_00001589.jpg,Characteristic Primary odor,0.0276
ADE_val_00001589.jpg,Grassy/ Woody Primary odor,0.0270
ADE_val_00001598.jpg,Restaurant Primary odor,0.1044
ADE_val_00001598.jpg,Bakery Primary odor,0.0506
ADE_val_00001598.jpg,Balsamic Primary odor,0.0454
ADE_val_00001598.jpg,Synthetic Primary odor,0.0352
ADE_val_00001598.jpg,Ambrosial Primary odor,0.0271
ADE_val_00001598.jpg,Popcorn Primary odor,0.0263
ADE_val_00001598.jpg,Hircine Primary odor,0.0247
ADE_val_00001598.jpg,Chocolate Primary odor,0.0239
ADE_val_00001598.jpg,Fragrance Primary odor,0.0217
ADE_val_00001598.jpg,Grains Primary odor,0.0206
ADE_val_00001608.jpg,Building materials & construction Primary odor,0.1151
ADE_val_00001608.jpg,Cleaning materials Primary odor,0.0898
ADE_val_00001608.jpg,Restaurant Primary odor,0.0821
ADE_val_00001608.jpg,Grains Primary odor,0.0376
ADE_val_00001608.jpg,Brown Primary odor,0.0271
ADE_val_00001608.jpg,Mossy woods Primary odor,0.0247
ADE_val_00001608.jpg,Dry woods Primary odor,0.0234
ADE_val_00001608.jpg,Waste Water Primary odor,0.0218
ADE_val_00001608.jpg,Fecal/ Sewery Primary odor,0.0214
ADE_val_00001608.jpg,Aromatic Primary odor,0.0207
ADE_val_00001632.jpg,Fecal/ Sewery Primary odor,0.0878
ADE_val_00001632.jpg,Grassy/ Woody Primary odor,0.0843
ADE_val_00001632.jpg,Microbiological Primary odor,0.0835
ADE_val_00001632.jpg,Synthetic Primary odor,0.0803
ADE_val_00001632.jpg,Waste Water Primary odor,0.0740
ADE_val_00001632.jpg,Chemical/ Hydrocarbon Primary odor,0.0354
ADE_val_00001632.jpg,Industrial odours Primary odor,0.0346
ADE_val_00001632.jpg,Citrus Primary odor,0.0343
ADE_val_00001632.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0217
ADE_val_00001632.jpg,Green Primary odor,0.0193
ADE_val_00001657.jpg,Building materials & construction Primary odor,0.3403
ADE_val_00001657.jpg,Cleaning materials Primary odor,0.0858
ADE_val_00001657.jpg,Brown Primary odor,0.0378
ADE_val_00001657.jpg,Grassy/ Woody Primary odor,0.0309
ADE_val_00001657.jpg,Fecal/ Sewery Primary odor,0.0271
ADE_val_00001657.jpg,Woody Primary odor,0.0270
ADE_val_00001657.jpg,Industrial odours Primary odor,0.0256
ADE_val_00001657.jpg,Earthy/ Musty/ Moldy Primary odor,0.0187
ADE_val_00001657.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0178
ADE_val_00001657.jpg,Waste Water Primary odor,0.0176
ADE_val_00001685.jpg,Herbaceous Primary odor,0.1058
ADE_val_00001685.jpg,Plants Primary odor,0.1009
ADE_val_00001685.jpg,Fragrant/ Fruity Primary odor,0.0964
ADE_val_00001685.jpg,Fragrant Primary odor,0.0419
ADE_val_00001685.jpg,Vegetation Primary odor,0.0406
ADE_val_00001685.jpg,Floral Primary odor,0.0388
ADE_val_00001685.jpg,Drinking Water Primary odor,0.0382
ADE_val_00001685.jpg,Perfumes Primary odor,0.0360
ADE_val_00001685.jpg,Fragrance Primary odor,0.0228
ADE_val_00001685.jpg,Soft floral Primary odor,0.0223
ADE_val_00001696.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.2338
ADE_val_00001696.jpg,Coal tar Primary odor,0.1971
ADE_val_00001696.jpg,Fecal/ Sewery Primary odor,0.0601
ADE_val_00001696.jpg,Waste Water Primary odor,0.0459
ADE_val_00001696.jpg,Cleaning materials Primary odor,0.0385
ADE_val_00001696.jpg,Restaurant Primary odor,0.0312
ADE_val_00001696.jpg,Industrial odours Primary odor,0.0248
ADE_val_00001696.jpg,City Smell Primary odor,0.0223
